pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category,bibtex_url
2018-12-22,A pseudospectral method for solving the Bloch equations of the polarization density in e- storage rings,"9th International Particle Accelerator Conference, IPAC2018",,"A. Klaus, O. Beznosov, J. A. Ellison, D. P. Barber and D. Appelö. In 9th International Particle Accelerator Conference, IPAC2018, Vancouver, BC, Canada, 2018.",pseudospectral-bloch-ipac,,,conferences,
2017-12-27,On the scaling of entropy viscosity in high order methods,"Springer Lecture Notes in Computational Science and Engineering, ICOSAHOM 2016",,"A. Kornelus and D. Appelö. In Springer Lecture Notes in Computational Science and Engineering: ICOSAHOM 2016, Rio de Janeiro, pages 175-187. Springer, 2017.",scaling-entropy-viscosity,https://arxiv.org/abs/1703.06917,,chapters,
2015-12-27,Simulation and modeling of turbulent jet noise,"Direct and Large-Eddy Simulation IX, ERCOFTAC Series",,"T. Colonius, A. Sinha, D. Rodriguez, A. Towne, J. Liu, G. A. Bres, D. Appelö and T. Hagstrom. In Direct and Large-Eddy Simulation IX, ERCOFTAC Series, pages 305-310. Springer International Publishing, 2015.",simulation-modeling-turbulent-jet-noise,,,chapters,
2015-12-26,Solving PDEs with Hermite interpolation,"Springer Lecture Notes in Computational Science and Engineering, ICOSAHOM 2014",,"T. Hagstrom and D. Appelö. In Springer Lecture Notes in Computational Science and Engineering: ICOSAHOM 2014, Salt Lake City, pages 31-49. Springer, 2015.",solving-pdes-hermite-interpolation,,,chapters,
2012-12-25,An analysis of dispersion and dissipation properties of Hermite methods and its application to direct numerical simulation of jet noise,18th AIAA/CEAS Aeroacoustics Conference,,"C. Y. Jang, D. Appelö, T. Colonius, T. Hagstrom and M. Inkman. In 18th AIAA/CEAS Aeroacoustics Conference (33rd AIAA Aeroacoustics Conference), 2012.",dispersion-dissipation-hermite-jet-noise,,,conferences,
2011-12-26,Hermite methods for aeroacoustics: Recent progress,17th AIAA/CEAS Aeroacoustics Conference,,"D. Appelö, M. Inkman, T. Hagstrom and T. Colonius. In 17th AIAA/CEAS Aeroacoustics Conference, Portland, Oregon, number AIAA-2011-2757, 2011.",hermite-methods-aeroacoustics-progress,,,conferences,
2010-12-27,Development of arbitrary-order Hermite methods for simulation and analysis of turbulent jet noise,Procedia Engineering: IUTAM Symposium on Computational Aero-Acoustics,,"D. Appelö, T. Colonius, T. Hagstrom and M. Inkman. Procedia Engineering: IUTAM Symposium on Computational Aero-Acoustics for Aircraft Noise Prediction, University of Southampton, 2010.",arbitrary-order-hermite-jet-noise,,,conferences,
2009-12-25,Computational modeling and experiments of natural convection for a Titan Montgolfiere,AIAA Balloon Systems Conference,,"T. Colonius, D. Appelö, J. Nott and J. Hall. In AIAA Balloon Systems Conference, AIAA-2009-2806, Seattle, 2009.",titan-montgolfiere-balloon-conference,,,conferences,
2007-12-26,Experiments with Hermite methods for simulating compressible flows: Runge-Kutta time-stepping and absorbing layers,13th AIAA/CEAS Aeroacoustics Conference,,"T. Hagstrom and D. Appelö. In 13th AIAA/CEAS Aeroacoustics Conference, number 2007-3505, 2007.",experiments-hermite-compressible-flows,,,conferences,
2004-12-28,Construction of stable PMLs for general 2x2 symmetric hyperbolic systems,"Proceedings of the Tenth International Conference on Hyperbolic Problems, Osaka",,"D. Appelö and T. Hagstrom. In Proceedings of the Tenth International Conference on Hyperbolic Problems: Theory, Numerics, Applications, Osaka, 2004.",stable-pmls-2x2-hyperbolic,,,conferences,
